Gas_Price;Year;Month;Cost
0.01;2018;1;5.804.660.428.893
0.02;2018;1;10.340.673.961.843
0.03;2018;1;14.874.133.599.362
0.04;2018;1;19.409.357.707.463
0.05;2018;1;23.942.382.244.843
0.06;2018;1;28.477.187.455.194
0.07;2018;1;33.011.992.665.544
0.08;2018;1;37.546.797.875.895
0.09;2018;1;42.081.603.086.246
0.1;2018;1;46.616.408.296.597
0.11;2018;1;51.151.213.506.947
0.12;2018;1;55.686.018.717.298
0.13;2018;1;60.220.823.927.649
0.14;2018;1;64.755.629.138
0.15;2018;1;69.260.792.559.562
0.16;2018;1;73.793.640.427.125
0.17;2018;1;78.326.488.294.688
0.18;2018;1;8.285.933.616.225
0.19;2018;1;87.392.184.029.813
0.2;2018;1;91.925.031.897.376
0.21;2018;1;96.457.879.764.938
0.22;2018;1;100.990.727.632.501
0.23;2018;1;105.523.575.500.063
0.24;2018;1;110.056.423.367.626
0.25;2018;1;114.589.271.235.189
0.26;2018;1;119.122.119.102.751
0.27;2018;1;123.595.608.139.476
0.28;2018;1;128.118.764.745.066
0.29;2018;1;132.645.595.669.459
0.3;2018;1;137.175.867.630.222
0.01;2018;7;6.200.944.588.277
0.02;2018;7;11.050.597.830.628
0.03;2018;7;15.900.240.453.714
0.04;2018;7;20.749.872.469.912
0.05;2018;7;25.585.530.473.559
0.06;2018;7;3.015.651.657.233
0.07;2018;7;34.939.215.267.958
0.08;2018;7;39.707.641.332.495
0.09;2018;7;44.450.700.713.164
0.1;2018;7;4.920.623.027.161
0.11;2018;7;53.940.796.580.822
0.12;2018;7;58.605.138.792.933
0.13;2018;7;63.371.538.405.374
0.14;2018;7;68.063.302.856.957
0.15;2018;7;72.752.609.727.438
0.16;2018;7;77.513.645.703.315
0.17;2018;7;82.148.192.735.442
0.18;2018;7;86.902.494.237.205
0.19;2018;7;9.152.300.219.143
0.2;2018;7;96.184.165.126.261
0.21;2018;7;100.927.280.041.259
0.22;2018;7;105.664.703.774.499
0.23;2018;7;110.319.029.747.144
0.24;2018;7;11.505.808.706.492
0.25;2018;7;119.797.144.382.696
0.26;2018;7;124.513.484.759.631
0.27;2018;7;129.073.425.152.533
0.28;2018;7;133.805.090.166.783
0.29;2018;7;138.530.660.780.672
0.3;2018;7;143.262.117.392.085
0.01;2017;1;11.135.649.063.528
0.02;2017;1;1.988.442.494.544
0.03;2017;1;2.861.034.149.334
0.04;2017;1;37.349.643.123.873
0.05;2017;1;46.090.796.747.104
0.06;2017;1;54.831.950.370.336
0.07;2017;1;63.573.103.993.567
0.08;2017;1;7.229.170.283.936
0.09;2017;1;81.030.129.884.933
0.1;2017;1;89.768.556.930.506
0.11;2017;1;98.490.204.943.801
0.12;2017;1;107.194.276.026.967
0.13;2017;1;115.912.933.334.335
0.14;2017;1;124.645.995.005.082
0.15;2017;1;133.379.056.675.829
0.16;2017;1;142.104.320.761.972
0.17;2017;1;150.821.149.314.308
0.18;2017;1;159.552.816.291.203
