month,day,hour,value,location,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other
1,1,0,0.3367,NL11,0.2184,NL12,0.2306,NL13,0.2135,NL21,0.1899,NL22,0.2389,NL23,0.1967,NL31,0.2172,NL32,0.2015,NL33,0.1825,NL34,0.2045,NL41,0.1237,NL42
1,1,1,0.1468,NL11,0.0995,NL12,0.0871,NL13,0.086,NL21,0.0742,NL22,0.1105,NL23,0.0732,NL31,0.0956,NL32,0.0511,NL33,0.0193,NL34,0.0467,NL41,0.0243,NL42
1,1,2,0.6049,NL11,0.4746,NL12,0.3367,NL13,0.3105,NL21,0.3137,NL22,0.3649,NL23,0.327,NL31,0.5167,NL32,0.5,NL33,0.4171,NL34,0.3645,NL41,0.2318,NL42
1,1,3,0.8579,NL11,0.8365,NL12,0.4964,NL13,0.5398,NL21,0.6484,NL22,0.7357,NL23,0.6636,NL31,0.9031,NL32,0.7955,NL33,0.7808,NL34,0.6031,NL41,0.4323,NL42
1,1,4,0.8179,NL11,0.8145,NL12,0.379,NL13,0.3368,NL21,0.3368,NL22,0.5535,NL23,0.4953,NL31,0.8532,NL32,0.7597,NL33,0.7223,NL34,0.5323,NL41,0.1973,NL42
1,1,5,0.3838,NL11,0.624,NL12,0.4371,NL13,0.5177,NL21,0.5273,NL22,0.666,NL23,0.6519,NL31,0.8557,NL32,0.8458,NL33,0.7479,NL34,0.6855,NL41,0.462,NL42
1,1,6,0.8853,NL11,0.8372,NL12,0.6641,NL13,0.5904,NL21,0.6484,NL22,0.7242,NL23,0.6879,NL31,0.8639,NL32,0.7818,NL33,0.7771,NL34,0.6715,NL41,0.4447,NL42
1,1,7,0.0126,NL11,0.0187,NL12,0.0026,NL13,0.0204,NL21,0.0192,NL22,0.0297,NL23,0.0167,NL31,0.026,NL32,0.0301,NL33,0.017,NL34,0.0151,NL41,0.0033,NL42
1,1,8,0.0615,NL11,0.0157,NL12,0.0174,NL13,0.0096,NL21,0.0073,NL22,0.0017,NL23,0.0014,NL31,0.0001,NL32,0.0018,NL33,0.0126,NL34,0.0042,NL41,0.0213,NL42
1,1,9,0.8723,NL11,0.7695,NL12,0.6769,NL13,0.6124,NL21,0.6256,NL22,0.6391,NL23,0.5608,NL31,0.7954,NL32,0.77,NL33,0.8044,NL34,0.6794,NL41,0.6868,NL42
1,1,10,0.4321,NL11,0.2972,NL12,0.175,NL13,0.104,NL21,0.0746,NL22,0.1068,NL23,0.0721,NL31,0.2536,NL32,0.254,NL33,0.3009,NL34,0.1798,NL41,0.2134,NL42
1,1,11,0.1435,NL11,0.0743,NL12,0.0679,NL13,0.0613,NL21,0.0668,NL22,0.0753,NL23,0.0692,NL31,0.1083,NL32,0.1145,NL33,0.1236,NL34,0.1014,NL41,0.0933,NL42
1,1,12,0.1609,NL11,0.1673,NL12,0.0822,NL13,0.0836,NL21,0.0939,NL22,0.1188,NL23,0.1053,NL31,0.2728,NL32,0.2086,NL33,0.235,NL34,0.1321,NL41,0.1045,NL42
1,1,13,0.0171,NL11,0.0125,NL12,0.0006,NL13,0.0065,NL21,0.0026,NL22,0.0117,NL23,0.0059,NL31,0.0358,NL32,0.0267,NL33,0.0137,NL34,0.0045,NL41,0.0001,NL42
1,1,14,0.5837,NL11,0.3947,NL12,0.2942,NL13,0.2281,NL21,0.2001,NL22,0.2509,NL23,0.1624,NL31,0.3598,NL32,0.1867,NL33,0.1262,NL34,0.153,NL41,0.2277,NL42
1,1,15,0.5369,NL11,0.4956,NL12,0.3811,NL13,0.4065,NL21,0.4117,NL22,0.5185,NL23,0.4418,NL31,0.6686,NL32,0.6344,NL33,0.6354,NL34,0.4623,NL41,0.3074,NL42
1,1,16,0.602,NL11,0.4867,NL12,0.3664,NL13,0.4135,NL21,0.507,NL22,0.5217,NL23,0.4815,NL31,0.6522,NL32,0.6232,NL33,0.5637,NL34,0.5197,NL41,0.5508,NL42
